Year,Month,Day,Hour,Minute,Second,HYY_DMPS.tconc
2014,01,14,04,00,00,686.01691
2014,01,14,05,00,00,776.2821
2014,01,14,06,00,00,626.57005
2014,01,14,07,00,00,673.41191
2014,01,14,08,00,00,769.61434
2014,01,14,09,00,00,928.39916
2014,01,14,10,00,00,865.77533
2014,01,14,11,00,00,989.5695
2014,01,14,12,00,00,1216.40232
2014,01,14,13,00,00,2074.42733
2014,01,14,14,00,00,2553.43549
2014,01,14,15,00,00,1344.639
2014,01,14,16,00,00,1058.95108
2014,01,14,17,00,00,999.19037
2014,01,14,18,00,00,1960.93144
2014,01,14,19,00,00,1206.66633
2014,01,14,20,00,00,874.65707
2014,01,14,21,00,00,698.83374
2014,01,14,22,00,00,614.49861
2014,01,14,23,00,00,737.43091
2014,01,15,00,00,00,738.1774
2014,01,15,01,00,00,808.19001
2014,01,15,02,00,00,900.00458
2014,01,15,03,00,00,941.513
2014,01,15,04,00,00,1424.93239
2014,01,15,05,00,00,1509.82033
2014,01,15,06,00,00,1473.55103
2014,01,15,07,00,00,1729.96812
2014,01,15,08,00,00,1588.25899
2014,01,15,09,00,00,1826.65995
2014,01,15,10,00,00,1477.48979
2014,01,15,11,00,00,1304.19191
2014,01,15,12,00,00,1451.2029
2014,01,15,13,00,00,1231.51156
2014,01,15,14,00,00,1074.78461
2014,01,15,15,00,00,1106.14168
2014,01,15,16,00,00,1358.72784
2014,01,15,17,10,00,1613.82859
2014,01,15,18,00,00,1633.6675
2014,01,15,19,00,00,1523.70679
2014,01,15,20,00,00,1504.93271
2014,01,15,21,00,00,1493.77792
2014,01,15,22,00,00,1333.58817
2014,01,15,23,00,00,1313.64142
2014,01,16,00,00,00,1490.92731
2014,01,16,01,00,00,1588.88918
2014,01,16,02,00,00,1515.03076
2014,01,16,03,00,00,2084.33575
2014,01,16,04,00,00,2861.75415
2014,01,16,05,00,00,1903.21021
2014,01,16,06,00,00,1902.83173
2014,01,16,07,00,00,2660.07107
2014,01,16,08,00,00,2015.34959
2014,01,16,09,00,00,2295.44562
2014,01,16,11,10,00,633.0687
2014,01,16,12,00,00,677.28839
2014,01,16,13,10,00,2854.01777
2014,01,16,14,00,00,1381.92897
2014,01,16,15,00,00,739.44319
2014,01,16,16,00,00,643.00369
2014,01,16,17,00,00,612.92486
2014,01,16,18,00,00,670.63801
2014,01,16,19,00,00,1367.12986
2014,01,16,20,00,00,1698.97432
2014,01,16,21,00,00,1558.14764
2014,01,16,22,00,00,1264.64274
2014,01,16,23,00,00,2030.86418
2014,01,17,00,00,00,1637.30815
2014,01,17,01,00,00,1406.92212
2014,01,17,02,00,00,1451.57666
2014,01,17,03,00,00,1224.39079
2014,01,17,04,00,00,1053.62854
2014,01,17,05,00,00,1113.79981
2014,01,17,06,00,00,1001.1606
2014,01,17,07,00,00,1095.54804
2014,01,17,08,00,00,1008.42388
2014,01,17,09,00,00,1039.68553
2014,01,17,10,00,00,990.32329
2014,01,17,11,00,00,1093.7173
2014,01,17,12,00,00,1030.48953
2014,01,17,13,00,00,1534.82241
2014,01,17,14,00,00,1388.34468
2014,01,17,15,00,00,888.82271
2014,01,17,16,00,00,1056.75701
2014,01,17,17,00,00,1193.95451
2014,01,17,18,00,00,1026.70513
2014,01,17,19,00,00,1020.15391
2014,01,17,20,00,00,1100.93152
2014,01,17,21,00,00,1134.87215
2014,01,17,22,00,00,1284.64646
2014,01,17,23,00,00,1203.79299
2014,01,18,00,00,00,1195.78054
2014,01,18,01,00,00,1199.14036
2014,01,18,02,00,00,1081.82756
2014,01,18,03,00,00,1013.26139
2014,01,18,04,00,00,992.02176
2014,01,18,05,00,00,1067.23776
2014,01,18,06,00,00,983.24448
2014,01,18,09,40,00,881.14417
2014,01,18,10,00,00,896.0159
2014,01,18,11,00,00,1167.07175
2014,01,18,12,00,00,1014.71029
2014,01,18,13,00,00,1076.89325
2014,01,18,14,00,00,1343.90379
2014,01,18,15,00,00,947.02755
2014,01,18,16,00,00,841.47012
2014,01,18,17,00,00,1020.3896
2014,01,18,18,00,00,1219.14756
2014,01,18,19,00,00,1228.47245
2014,01,18,20,00,00,1314.79036
2014,01,18,21,00,00,1266.69417
2014,01,18,22,00,00,1271.37303
2014,01,18,23,00,00,969.04639
2014,01,19,00,00,00,809.66768
2014,01,19,01,00,00,894.39045
2014,01,19,02,00,00,1123.22236
2014,01,19,03,00,00,1251.97674
2014,01,19,04,00,00,1217.98944
2014,01,19,05,00,00,1897.14899
2014,01,19,06,00,00,1574.51796
2014,01,19,07,00,00,1768.26017
2014,01,19,08,00,00,2434.64211
2014,01,19,09,00,00,2325.738
2014,01,19,10,00,00,2960.18998
2014,01,19,11,00,00,2805.42096
2014,01,19,12,00,00,1560.95723
2014,01,19,13,00,00,1870.89449
2014,01,19,14,00,00,4615.9117
2014,01,19,15,00,00,8639.59334
2014,01,19,16,00,00,12930.13216
2014,01,19,17,00,00,6355.24365
2014,01,19,18,00,00,2014.11346
2014,01,19,19,00,00,1995.87093
2014,01,19,20,00,00,1757.89728
2014,01,19,21,00,00,1551.13269
2014,01,19,22,00,00,1162.02343
2014,01,19,23,00,00,924.62812
2014,01,20,00,00,00,848.31417
2014,01,20,01,00,00,772.84291
2014,01,20,02,00,00,851.77558
2014,01,20,03,00,00,831.39903
2014,01,20,04,00,00,1024.43182
2014,01,22,11,10,00,904.88158
2014,01,22,12,00,00,851.61021
2014,01,22,13,00,00,802.50369
2014,01,22,14,00,00,909.15607
2014,01,22,15,00,00,983.76693
2014,01,22,16,00,00,1493.56968
2014,01,22,17,00,00,1255.93695
2014,01,22,18,00,00,1011.90789
2014,01,22,19,00,00,1038.80123
2014,01,22,20,00,00,1075.3113
2014,01,22,21,00,00,1184.25201
2014,01,22,22,00,00,1331.1145
2014,01,22,23,00,00,1333.89856
2014,01,23,00,00,00,1360.03613
2014,01,23,01,00,00,1912.10626
2014,01,23,02,00,00,1275.60663
2014,01,23,03,00,00,2151.33966
2014,01,23,04,00,00,4135.58813
2014,01,23,05,00,00,2597.69391
2014,01,23,06,00,00,1509.51243
2014,01,23,07,00,00,1258.42605
2014,01,23,08,00,00,1298.3437
2014,01,23,09,00,00,1111.0767
2014,01,23,10,00,00,1132.57021
2014,01,23,11,00,00,1161.57431
2014,01,23,12,00,00,1326.61355
2014,01,23,13,00,00,1657.07245
2014,01,23,14,00,00,1496.22276
2014,01,23,15,00,00,1759.70013
2014,01,23,16,00,00,1480.46792
2014,01,23,17,00,00,1218.46718
2014,01,23,18,00,00,1140.69895
2014,01,23,19,00,00,1027.91047
2014,01,23,20,00,00,1015.45076
2014,01,23,21,11,00,775.11021
2014,01,23,22,00,00,841.97587
2014,01,23,23,00,00,1086.5458
2014,01,24,00,00,00,1099.60063
2014,01,24,01,00,00,1028.68129
2014,01,24,02,00,00,864.3663
2014,01,24,03,00,00,691.55115
2014,01,24,04,00,00,801.85233
2014,01,24,05,00,00,765.34887
2014,01,24,06,00,00,799.50707
2014,01,24,07,00,00,651.50276
2014,01,24,08,00,00,894.05962
2014,01,24,09,00,00,855.73121
2014,01,24,10,00,00,619.48332
2014,01,24,11,00,00,637.08127
2014,01,24,12,00,00,750.29694
2014,01,24,13,00,00,1004.60628
2014,01,24,14,00,00,1101.57388
2014,01,24,15,00,00,1002.65488
2014,01,24,16,00,00,865.87572
2014,01,24,17,00,00,1163.74915
2014,01,24,18,00,00,2130.54366
2014,01,24,19,00,00,3424.89543
2014,01,24,20,00,00,2326.55162
2014,01,24,21,00,00,1917.95528
2014,01,24,22,00,00,1788.50576
2014,01,24,23,00,00,1861.04991
2014,01,25,00,00,00,1531.82819
2014,01,25,01,00,00,1085.34147
2014,01,25,02,00,00,907.87629
2014,01,25,03,00,00,813.84395
2014,01,25,04,00,00,674.54915
2014,01,25,05,00,00,645.02455
2014,01,25,06,00,00,565.8742
2014,01,25,07,00,00,542.26969
2014,01,25,08,00,00,638.52846
2014,01,25,09,00,00,713.82924
2014,01,25,10,00,00,657.85738
2014,01,25,11,00,00,843.13483
2014,01,25,12,00,00,793.37059
2014,01,25,13,00,00,768.89505
2014,01,25,14,00,00,886.71775
2014,01,25,15,00,00,788.07149
2014,01,25,16,00,00,866.6903
2014,01,25,17,00,00,641.37494
2014,01,25,18,00,00,539.97661
2014,01,25,19,00,00,541.34783
2014,01,25,20,00,00,532.66639
2014,01,25,21,00,00,585.88051
2014,01,25,22,00,00,585.99038
2014,01,25,23,00,00,462.95403
2014,01,26,00,00,00,394.4856
2014,01,26,01,00,00,397.03602
2014,01,26,02,00,00,367.9132
2014,01,26,03,00,00,372.72204
2014,01,26,04,00,00,486.04197
2014,01,26,05,00,00,445.7799
2014,01,26,06,00,00,389.45908
2014,01,26,07,00,00,439.65097
2014,01,26,08,00,00,470.5782
2014,01,26,09,00,00,539.26921
2014,01,26,10,00,00,631.72672
2014,01,26,11,00,00,691.45196
2014,01,26,12,00,00,661.89318
2014,01,26,13,00,00,603.25858
2014,01,26,14,00,00,675.31717
2014,01,26,15,00,00,606.85367
2014,01,26,16,00,00,621.19596
2014,01,26,17,00,00,824.84091
2014,01,26,18,00,00,599.8284
2014,01,26,19,00,00,697.60881
2014,01,26,20,00,00,638.22178
2014,01,26,21,00,00,707.82827
2014,01,26,22,00,00,666.64307
2014,01,26,23,00,00,592.91027
2014,01,27,00,00,00,640.01298
2014,01,27,01,00,00,388.08783
2014,01,27,02,00,00,728.79188
2014,01,27,03,00,00,612.27354
2014,01,27,04,00,00,522.87979
2014,01,27,05,00,00,1043.53257
2014,01,27,06,00,00,819.83123
2014,01,27,07,00,00,585.35005
2014,01,27,08,00,00,499.97718
2014,01,27,09,00,00,658.02515
2014,01,27,10,00,00,668.41758
2014,01,27,11,00,00,574.12542
2014,01,27,12,00,00,602.76298
2014,01,27,13,00,00,618.01711
2014,01,27,14,00,00,819.05443
2014,01,27,15,00,00,779.1587
2014,01,27,16,00,00,758.66719
2014,01,27,17,00,00,785.17094
2014,01,27,18,00,00,782.59764
2014,01,27,19,00,00,535.39514
2014,01,27,20,00,00,537.13368
2014,01,27,21,00,00,624.01528
2014,01,27,22,00,00,605.28655
2014,01,27,23,00,00,567.98891
2014,01,28,00,00,00,729.25713
2014,01,28,01,00,00,693.42091
2014,01,28,02,00,00,923.33115
2014,01,28,03,00,00,929.45121
2014,01,28,04,00,00,801.63348
2014,01,28,05,00,00,856.34006
2014,01,28,06,00,00,932.76884
2014,01,28,07,00,00,945.5838
2014,01,28,08,00,00,1007.89913
2014,01,28,09,00,00,1294.95276
2014,01,28,10,00,00,1622.25226
2014,01,28,11,00,00,2781.52771
2014,01,28,12,00,00,2603.47502
2014,01,28,13,00,00,2987.41583
2014,01,28,14,00,00,3149.60874
2014,01,28,15,02,00,2668.05119
2014,01,28,16,02,00,2342.68433
2014,01,28,17,02,00,2297.34408
2014,01,28,18,02,00,3019.83203
2014,01,28,19,01,00,7321.69417
2014,01,28,20,02,00,2712.89722
2014,01,28,21,02,00,3146.56624
2014,01,28,22,02,00,3364.03841
2014,01,28,23,02,00,4533.88021
2014,01,29,00,02,00,3861.61947
2014,01,29,01,01,00,2547.20809
2014,01,29,02,02,00,6641.45768
2014,01,29,03,02,00,7188.33089
2014,01,29,04,01,00,8164.04899
2014,01,29,05,02,00,14729.20133
2014,01,29,06,02,00,7971.7382
2014,01,29,07,02,00,7081.9626
2014,01,29,08,00,00,4609.14958
2014,01,29,09,00,00,4356.70357
2014,01,29,10,00,00,10168.25761
2014,01,29,11,00,00,2070.63232
2014,01,29,12,00,00,4288.86823
2014,01,29,13,00,00,7127.79948
2014,01,29,14,00,00,3586.55888
2014,01,29,15,00,00,5149.18966
2014,01,29,16,00,00,1687.88729
2014,01,29,17,00,00,9165.55033
2014,01,29,18,00,00,11350.64437
2014,01,29,19,00,00,7725.63741
2014,01,29,20,00,00,14555.10181
2014,01,29,21,00,00,9120.45931
2014,01,29,22,00,00,8151.7819
2014,01,29,23,00,00,3017.37651
2014,01,30,00,00,00,9341.32589
2014,01,30,01,00,00,1791.94676
2014,01,30,02,00,00,1844.13025
2014,01,30,03,00,00,7058.40576
2014,01,30,04,00,00,7443.5319
2014,01,30,05,00,00,12361.07259
2014,01,30,06,00,00,11264.96212
2014,01,30,07,00,00,1669.94332
2014,01,30,08,00,00,1652.60284
2014,01,30,09,00,00,1578.49711
2014,01,30,10,00,00,1847.31049
2014,01,30,11,00,00,1909.39067
2014,01,30,12,00,00,1764.95251
2014,01,30,13,00,00,1869.40342
2014,01,30,14,00,00,1801.44566
2014,01,30,15,00,00,2277.89296
2014,01,30,16,00,00,7574.1582
2014,01,30,17,00,00,3854.32723
2014,01,30,18,00,00,3117.73991
2014,01,30,19,00,00,2541.43343
2014,01,30,20,00,00,2483.17391
2014,01,30,21,00,00,2348.44043
2014,01,30,22,00,00,3294.60396
2014,01,30,23,00,00,2271.48189
2014,01,31,00,00,00,2332.07808
2014,01,31,01,00,00,2132.06051
2014,01,31,02,00,00,2851.71753
2014,01,31,03,00,00,10176.25869
2014,01,31,04,00,00,6287.91199
2014,01,31,05,00,00,13973.2005
2014,01,31,06,00,00,12200.04915
2014,01,31,07,00,00,15177.92985
2014,01,31,08,00,00,14968.83834
2014,01,31,09,00,00,10610.38877
2014,01,31,10,00,00,2501.62685
2014,01,31,11,00,00,1928.96688
2014,01,31,12,00,00,1737.58028
2014,01,31,13,00,00,1580.20913
2014,01,31,14,00,00,1595.00909
2014,01,31,15,00,00,1711.04791
2014,01,31,16,00,00,1671.27163
2014,01,31,17,00,00,1927.42657
2014,01,31,18,00,00,2458.39909
2014,01,31,19,00,00,2006.9682
2014,01,31,20,00,00,1899.68685
2014,01,31,21,00,00,4964.85266
2014,01,31,22,00,00,5735.48763
2014,01,31,23,00,00,3482.44421
2014,02,01,00,00,00,4768.29582
2014,02,01,01,00,00,2610.44499
2014,02,01,02,00,00,1203.26101
2014,02,01,03,00,00,1296.18559
2014,02,01,04,00,00,1282.4563
2014,02,01,05,00,00,1294.69236
2014,02,01,06,00,00,1381.72489
2014,02,01,07,00,00,1534.87168
2014,02,01,08,00,00,1666.32937
2014,02,01,09,00,00,1689.38983
2014,02,01,10,00,00,1673.62006
2014,02,01,11,00,00,1649.84709
2014,02,01,12,00,00,1658.76465
2014,02,01,13,00,00,1681.38143
2014,02,01,14,00,00,1794.32375
2014,02,01,15,00,00,1960.39467
2014,02,01,16,00,00,1908.82729
2014,02,01,17,00,00,1860.96261
2014,02,01,18,00,00,1781.54486
2014,02,01,19,00,00,1721.51799
2014,02,01,20,00,00,1687.09717
2014,02,01,21,00,00,1632.01314
2014,02,01,22,00,00,1519.79628
2014,02,01,23,00,00,1359.9126
2014,02,02,00,00,00,1334.02785
2014,02,02,01,00,00,1310.91007
2014,02,02,02,00,00,1301.17346
2014,02,02,03,00,00,1380.69088
2014,02,02,04,00,00,1697.63062
2014,02,02,05,00,00,2046.72109
2014,02,02,06,00,00,2224.08142
2014,02,02,07,00,00,2457.90068
2014,02,02,08,00,00,2532.11877
2014,02,02,09,00,00,2524.58903
2014,02,02,10,00,00,2549.11702
2014,02,02,11,00,00,2597.23405
2014,02,02,12,00,00,2700.42257
2014,02,02,13,00,00,2834.83146
2014,02,02,14,00,00,2752.68941
2014,02,02,15,00,00,2836.14254
2014,02,02,16,00,00,2838.96643
2014,02,02,17,00,00,2944.59814
2014,02,02,18,00,00,2982.19067
2014,02,02,19,00,00,2920.31506
2014,02,02,20,00,00,2859.94722
2014,02,02,21,00,00,2902.72314
2014,02,02,22,00,00,2716.19621
2014,02,02,23,00,00,2391.795
2014,02,03,00,00,00,2165.85478
2014,02,03,01,00,00,1887.04333
2014,02,03,02,00,00,1790.46533
2014,02,03,03,00,00,1723.98295
2014,02,03,04,00,00,1644.58498
2014,02,03,05,00,00,1597.41764
2014,02,03,06,00,00,1555.46055
2014,02,03,07,00,00,1532.69289
2014,02,03,08,00,00,1604.4837
2014,02,03,09,00,00,1616.23586
2014,02,03,10,00,00,1609.37518
2014,02,03,11,00,00,1631.60783
2014,02,03,12,30,00,1329.20707
2014,02,03,13,00,00,1531.55625
2014,02,03,14,00,00,1539.96836
2014,02,03,15,00,00,1601.81702
2014,02,03,16,00,00,1608.91435
