Entity,Code,Year,Coal per capita (kWh),Oil per capita (kWh),Gas per capita (kWh)
Denmark,DNK,1966,10162.62109375,29237.623046875,0
Denmark,DNK,1967,8637.26171875,30696.21875,0
Denmark,DNK,1968,7684.39013671875,33129.8203125,0
Denmark,DNK,1969,6971.41650390625,39562.1796875,0
Denmark,DNK,1970,5539.96044921875,43721.1796875,0
Denmark,DNK,1971,3369.394775390625,42897.30078125,0
Denmark,DNK,1972,3422.43115234375,45123.5703125,0
Denmark,DNK,1973,5217.595703125,41500.97265625,0
Denmark,DNK,1974,4905.146484375,37393.09765625,0
Denmark,DNK,1975,4712.43310546875,36802.19140625,0
Denmark,DNK,1976,6523.3125,39013.99609375,0
Denmark,DNK,1977,7480.82177734375,38842.52734375,0
Denmark,DNK,1978,8221.37890625,38656.16796875,0
Denmark,DNK,1979,9787.1103515625,36911.1953125,0
Denmark,DNK,1980,13953.65234375,31485.75,0
Denmark,DNK,1981,11149.4052734375,29650.44921875,0
Denmark,DNK,1982,13454.513671875,25553.185546875,0
Denmark,DNK,1983,12858.4970703125,24191.828125,28.50804901123047
Denmark,DNK,1984,13562.3525390625,23931.7421875,230.2604217529297
Denmark,DNK,1985,16536.123046875,24671.732421875,1312.7437744140625
Denmark,DNK,1986,16725.623046875,24344.052734375,2339.927734375
Denmark,DNK,1987,16409.28125,22411.30859375,2968.22119140625
Denmark,DNK,1988,15337.923828125,22254.7109375,3616.483154296875
Denmark,DNK,1989,12585.810546875,21394.806640625,3848.646484375
Denmark,DNK,1990,13777.876953125,20914.0234375,4094.06640625
Denmark,DNK,1991,18637.443359375,21161.748046875,4713.1435546875
Denmark,DNK,1992,15473.7470703125,20905.080078125,4939.65966796875
Denmark,DNK,1993,16171.8935546875,21805.90234375,5530.48095703125
Denmark,DNK,1994,17322.03125,23106.958984375,6155.4384765625
Denmark,DNK,1995,14420.845703125,23960.7578125,7098.46533203125
Denmark,DNK,1996,19738.560546875,25893.884765625,8326.5712890625
Denmark,DNK,1997,14610.1279296875,24874.283203125,8662.63671875
Denmark,DNK,1998,12363.5595703125,23960.501953125,9300.8388671875
Denmark,DNK,1999,10344.8515625,23684.3203125,9713.623046875
Denmark,DNK,2000,8646.5205078125,22941.447265625,9552.052734375
Denmark,DNK,2001,9110.7177734375,21934.412109375,9950.4072265625
Denmark,DNK,2002,9096.5478515625,21168.39453125,10016.74609375
Denmark,DNK,2003,12378.564453125,20417.478515625,10100.1484375
Denmark,DNK,2004,9460.703125,19997.947265625,10022.7197265625
Denmark,DNK,2005,7954.40673828125,20117.478515625,9592.115234375
Denmark,DNK,2006,12020.2451171875,20409.16015625,9731.8251953125
Denmark,DNK,2007,9891.9736328125,20435.166015625,8681.95703125
Denmark,DNK,2008,8668.1279296875,19932.904296875,8679.2353515625
Denmark,DNK,2009,8483.5400390625,17834.244140625,8292.5615234375
Denmark,DNK,2010,8024.2802734375,17915.287109375,9332.3486328125
Denmark,DNK,2011,6745.5908203125,17252.935546875,7786.81689453125
Denmark,DNK,2012,5126.29638671875,15928.8037109375,7236.41943359375
Denmark,DNK,2013,6675.02587890625,15789.7861328125,6792.6201171875
Denmark,DNK,2014,5392.47119140625,15791.0107421875,5807.419921875
Denmark,DNK,2015,3533.456787109375,15897.3955078125,5817.24365234375
Denmark,DNK,2016,4264.236328125,15555.6083984375,5892.22412109375
Denmark,DNK,2017,3178.434326171875,15363.0986328125,5610.7080078125
Denmark,DNK,2018,3225.919189453125,15461.0029296875,5425.79052734375
Denmark,DNK,2019,1832.466064453125,15448.017578125,5020.51171875
Denmark,DNK,2020,1591.9757080078125,12756.115234375,4009.8525390625
Denmark,DNK,2021,2208.960205078125,12760.9345703125,3983.82373046875
Ecuador,ECU,1965,0,1510.4248046875,0
Ecuador,ECU,1966,0,1531.5987548828125,0
Ecuador,ECU,1967,0,1606.3173828125,0
Ecuador,ECU,1968,0,1863.979248046875,0
Ecuador,ECU,1969,0,1915.580322265625,0
