datetimeISO,year,month,day,hour,minute,second,value
2020-05-03T05:29:59.983298Z,2020,5,3,5,30,0,424.813
2020-05-03T06:29:59.877315Z,2020,5,3,6,30,0,424.61
2020-05-03T07:30:00.087553Z,2020,5,3,7,30,0,424.752
2020-05-03T08:29:59.981570Z,2020,5,3,8,30,0,425.208
2020-05-03T09:29:59.875580Z,2020,5,3,9,30,0,426.783
2020-05-03T10:30:00.085826Z,2020,5,3,10,30,0,428.032
2020-05-03T11:29:59.979843Z,2020,5,3,11,30,0,426.477
2020-05-03T12:29:59.873853Z,2020,5,3,12,30,0,425.855
2020-05-03T13:30:00.084098Z,2020,5,3,13,30,0,426.106
2020-05-03T14:29:59.978115Z,2020,5,3,14,30,0,426.056
2020-05-03T15:29:59.872125Z,2020,5,3,15,30,0,425.051
2020-05-03T16:30:00.082370Z,2020,5,3,16,30,0,423.837
2020-05-03T17:29:59.976381Z,2020,5,3,17,30,0,423.905
2020-05-03T18:29:59.870398Z,2020,5,3,18,30,0,423.475
2020-05-03T19:30:00.080643Z,2020,5,3,19,30,0,423.147
2020-05-03T20:29:59.974653Z,2020,5,3,20,30,0,422.199
2020-05-03T21:29:59.868670Z,2020,5,3,21,30,0,421.491
2020-05-03T22:30:00.078915Z,2020,5,3,22,30,0,422.139
2020-05-03T23:29:59.972925Z,2020,5,3,23,30,0,421.329
2020-05-04T00:29:59.866943Z,2020,5,4,0,30,0,421.692
2020-05-04T01:30:00.077181Z,2020,5,4,1,30,0,421.746
2020-05-04T02:29:59.971198Z,2020,5,4,2,30,0,421.957
2020-05-04T03:29:59.865215Z,2020,5,4,3,30,0,420.429
2020-05-04T04:30:00.075453Z,2020,5,4,4,30,0,424.606
2020-05-04T05:29:59.969470Z,2020,5,4,5,30,0,425.311
2020-05-04T06:29:59.863488Z,2020,5,4,6,30,0,422.939
2020-05-04T07:30:00.073726Z,2020,5,4,7,30,0,421.604
2020-05-04T08:29:59.967743Z,2020,5,4,8,30,0,419.724
2020-05-04T09:29:59.861760Z,2020,5,4,9,30,0,418.713
2020-05-04T10:30:00.071998Z,2020,5,4,10,30,0,419.414
2020-05-04T11:29:59.966015Z,2020,5,4,11,30,0,419.167
2020-05-04T12:29:59.860033Z,2020,5,4,12,30,0,418.947
2020-05-04T13:30:00.070270Z,2020,5,4,13,30,0,418.965
2020-05-04T14:29:59.964288Z,2020,5,4,14,30,0,418.57
2020-05-04T15:29:59.858305Z,2020,5,4,15,30,0,418.335
2020-05-04T16:30:00.068543Z,2020,5,4,16,30,0,418.337
2020-05-04T17:29:59.962560Z,2020,5,4,17,30,0,418.584
2020-05-04T18:29:59.856577Z,2020,5,4,18,30,0,418.725
2020-05-04T19:30:00.066815Z,2020,5,4,19,30,0,418.618
2020-05-04T20:29:59.960833Z,2020,5,4,20,30,0,418.886
2020-05-04T21:29:59.854850Z,2020,5,4,21,30,0,419.04
2020-05-04T22:30:00.065088Z,2020,5,4,22,30,0,419.392
2020-05-04T23:29:59.959105Z,2020,5,4,23,30,0,422.673
2020-05-05T00:29:59.853122Z,2020,5,5,0,30,0,419.785
2020-05-05T01:30:00.063360Z,2020,5,5,1,30,0,419.898
2020-05-05T02:29:59.957378Z,2020,5,5,2,30,0,419.912
2020-05-05T03:29:59.851395Z,2020,5,5,3,30,0,420.15
2020-05-05T04:30:00.061633Z,2020,5,5,4,30,0,420.532
2020-05-05T05:29:59.955650Z,2020,5,5,5,30,0,421.044
2020-05-05T06:29:59.849667Z,2020,5,5,6,30,0,420.382
2020-05-05T07:30:00.059905Z,2020,5,5,7,30,0,420.475
2020-05-05T08:29:59.953922Z,2020,5,5,8,30,0,421.071
2020-05-05T09:29:59.847933Z,2020,5,5,9,30,0,420.217
2020-05-05T10:30:00.058178Z,2020,5,5,10,30,0,418.797
2020-05-05T11:29:59.952195Z,2020,5,5,11,30,0,418.361
2020-05-05T12:29:59.846205Z,2020,5,5,12,30,0,418.467
2020-05-05T13:30:00.056450Z,2020,5,5,13,30,0,418.355
2020-05-05T14:29:59.950467Z,2020,5,5,14,30,0,418.348
2020-05-05T15:29:59.844477Z,2020,5,5,15,30,0,418.302
2020-05-05T16:30:00.054723Z,2020,5,5,16,30,0,418.312
2020-05-05T17:29:59.948733Z,2020,5,5,17,30,0,418.425
2020-05-05T18:29:59.842750Z,2020,5,5,18,30,0,418.084
2020-05-05T19:30:00.052995Z,2020,5,5,19,30,0,418.433
2020-05-05T20:29:59.947005Z,2020,5,5,20,30,0,417.613
