"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2.058773542E0;3.724554749E0;-4.201463013E0;-9.213340759E0;1.078935807E1
2.068814542E0;4.127666473E0;-4.486919403E0;-9.478289795E0;1.126978499E1
2.078855542E0;4.584366760E0;-4.442611542E0;-9.510023804E0;1.145398484E1
2.088897542E0;4.793481903E0;-4.017046509E0;-9.090745697E0;1.103430055E1
2.098938541E0;4.892126770E0;-3.709286499E0;-8.234675903E0;1.027139708E1
2.108979542E0;4.966821442E0;-3.681294708E0;-7.830216980E0;9.976649935E0
2.119020542E0;4.400399323E0;-4.132606201E0;-8.301137695E0;1.026405550E1
2.129062542E0;3.870201874E0;-4.411326599E0;-8.601862335E0;1.041298711E1
2.139103542E0;3.584446106E0;-4.546645203E0;-8.813671875E0;1.054519077E1
2.149144541E0;3.855682068E0;-4.190984802E0;-9.028026123E0;1.067407577E1
2.159186542E0;4.122427368E0;-3.609593811E0;-9.222172394E0;1.072716358E1
2.169227542E0;4.277205505E0;-3.391796722E0;-9.681567078E0;1.111447313E1
2.179268542E0;4.352049866E0;-3.125051422E0;-9.974657593E0;1.132254735E1
2.189310542E0;3.812571716E0;-3.007096710E0;-1.046982788E1;1.154104110E1
2.199351542E0;3.242257690E0;-2.979553986E0;-1.054467224E1;1.142716455E1
2.209392542E0;3.116519165E0;-3.059936829E0;-1.046428940E1;1.133919123E1
2.219433542E0;3.288661194E0;-3.562591553E0;-1.039288788E1;1.146819382E1
2.229475542E0;3.702999573E0;-4.195475464E0;-1.031744476E1;1.173728617E1
2.239516542E0;4.237687683E0;-4.371808777E0;-1.025322830E1;1.192473897E1
2.249557542E0;5.087320862E0;-4.066743164E0;-1.034678375E1;1.222600374E1
2.259599542E0;5.884263611E0;-3.780089264E0;-1.074315948E1;1.281909157E1
2.269640542E0;5.497917023E0;-3.158731384E0;-1.113414642E1;1.281303602E1
2.279681541E0;4.259242859E0;-2.083517303E0;-1.120255417E1;1.216467895E1
2.289723542E0;3.350482635E0;-1.284927979E0;-1.172481812E1;1.226165297E1
2.299764542E0;3.378474426E0;-1.126257935E0;-1.269525009E1;1.318529185E1
2.309805542E0;4.198469238E0;-9.963281250E-1;-1.263073425E1;1.334748146E1
2.319847542E0;4.723128204E0;-7.182064819E-1;-1.149549500E1;1.244870137E1
2.329888542E0;4.619693298E0;-7.566764832E-1;-1.056368271E1;1.155445879E1
2.339929542E0;4.308490448E0;-1.275347900E0;-1.003602997E1;1.099597652E1
2.349970542E0;4.101021881E0;-1.636846161E0;-9.593699799E0;1.056109472E1
2.360012542E0;4.011358337E0;-1.736987915E0;-9.065597992E0;1.006445178E1
2.370053542E0;3.995042267E0;-1.667682037E0;-9.011410675E0;9.997352072E0
2.380094542E0;3.784879303E0;-1.093326416E0;-9.509724426E0;1.029347039E1
2.390136542E0;3.426973572E0;-3.103047180E-1;-1.003617966E1;1.060968138E1
2.400177542E0;2.485431519E0;-8.951385498E-2;-1.069181625E1;1.097726366E1
2.410218542E0;1.530118103E0;-2.933898926E-1;-1.092338470E1;1.103393277E1
2.420260542E0;1.190773773E0;-8.152047729E-1;-1.054796539E1;1.064622351E1
2.430301542E0;1.169667664E0;-1.400787048E0;-9.995614014E0;1.016083787E1
2.440342542E0;1.508263550E0;-2.012415161E0;-9.240883484E0;9.576982890E0
2.450383542E0;1.976489868E0;-2.313289490E0;-8.804241486E0;9.315175178E0
2.460425542E0;2.124981079E0;-2.397264862E0;-8.256081390E0;8.855806193E0
2.470466542E0;2.131417694E0;-2.589764557E0;-7.928712158E0;8.608966159E0
2.480507542E0;2.264191589E0;-2.965932312E0;-8.060737610E0;8.882500146E0
2.490549542E0;2.524051208E0;-2.926264801E0;-8.783135376E0;9.595693160E0
2.500590542E0;2.782264252E0;-2.613864441E0;-8.700507202E0;9.501163469E0
2.510631542E0;2.707569580E0;-2.371069336E0;-8.495433655E0;9.226337074E0
2.520673542E0;2.644850006E0;-1.935475159E0;-9.058412933E0;9.633075341E0
2.530714542E0;2.837349701E0;-1.595532074E0;-9.938732300E0;1.045823482E1
2.540755542E0;3.375330963E0;-1.412313080E0;-9.703571320E0;1.037047654E1
2.550796542E0;3.717519379E0;-1.101409607E0;-9.105864258E0;9.896960005E0
2.560838541E0;3.787424011E0;-1.041234741E0;-8.874894562E0;9.705282268E0
2.570879542E0;3.641926575E0;-1.167572021E0;-9.261989594E0;1.002054414E1
2.580920542E0;3.467090149E0;-1.191222839E0;-9.531728668E0;1.021242270E1
2.590962542E0;3.544628906E0;-1.112187195E0;-9.134155426E0;9.860737791E0
2.601003542E0;3.651806030E0;-1.131646729E0;-9.324709167E0;1.007802127E1
2.611044542E0;3.738775177E0;-1.076860657E0;-9.908495178E0;1.064501505E1
2.621086542E0;3.696862335E0;-7.036866760E-1;-1.049901718E1;1.115308602E1
2.631127542E0;2.993025970E0;-5.541476440E-1;-1.061307999E1;1.104095788E1
2.641168542E0;2.162702637E0;-9.924362183E-1;-1.045006897E1;1.071756287E1
2.651209542E0;2.070793762E0;-1.562151489E0;-1.037223083E1;1.069166388E1
2.661251542E0;2.229912872E0;-2.102378082E0;-1.036474640E1;1.080835200E1
2.671292542E0;2.200873260E0;-2.457739105E0;-1.044063858E1;1.094948668E1
2.681333542E0;1.830393677E0;-2.528691559E0;-1.032597702E1;1.078751238E1
