Flag,NbPoints,Stdev,TIMESTAMP,co2
O,12,1.4420000314712524,2022-10-11 09:00:00,437.3280029296875
O,12,2.1070001125335693,2022-10-11 10:00:00,439.4859924316406
O,6,1.6260000467300415,2022-10-11 11:00:00,437.91900634765625
O,12,1.055999994277954,2022-10-11 12:00:00,436.01800537109375
O,12,1.2330000400543213,2022-10-11 13:00:00,432.03399658203125
O,12,1.4830000400543213,2022-10-11 14:00:00,429.7909851074219
O,10,0.7770000100135803,2022-10-11 15:00:00,427.82598876953125
O,8,0.5529999732971191,2022-10-11 16:00:00,424.1839904785156
O,12,0.9539999961853027,2022-10-11 17:00:00,425.8680114746094
O,4,0.1379999965429306,2022-10-11 18:00:00,427.1789855957031
O,12,1.6699999570846558,2022-10-11 19:00:00,432.99200439453125
O,12,0.9850000143051147,2022-10-11 20:00:00,436.0690002441406
O,12,1.4900000095367432,2022-10-11 21:00:00,440.39801025390625
O,12,0.8370000123977661,2022-10-11 22:00:00,441.5369873046875
O,4,0.33899998664855957,2022-10-11 23:00:00,443.03900146484375
O,12,1.3600000143051147,2022-10-12 00:00:00,447.5639953613281
O,12,0.4580000042915344,2022-10-12 01:00:00,448.8840026855469
O,6,0.2759999930858612,2022-10-12 02:00:00,452.239013671875
O,12,0.6489999890327454,2022-10-12 03:00:00,453.2250061035156
O,12,1.7480000257492065,2022-10-12 04:00:00,456.6700134277344
O,12,0.7329999804496765,2022-10-12 05:00:00,459.16900634765625
O,10,0.9259999990463257,2022-10-12 06:00:00,461.2380065917969
O,8,0.29499998688697815,2022-10-12 07:00:00,457.92999267578125
O,12,1.6770000457763672,2022-10-12 08:00:00,458.4620056152344
O,4,0.5450000166893005,2022-10-12 09:00:00,456.5830078125
O,12,1.187999963760376,2022-10-12 10:00:00,455.8840026855469
O,12,2.4070000648498535,2022-10-12 11:00:00,452.6510009765625
O,12,1.4429999589920044,2022-10-12 12:00:00,447.197998046875
O,12,1.1679999828338623,2022-10-12 13:00:00,441.2080078125
O,4,0.6549999713897705,2022-10-12 14:00:00,438.0799865722656
N,0,-9.989999771118164,2022-10-12 15:00:00,
N,0,-9.989999771118164,2022-10-12 16:00:00,
O,4,0.041999999433755875,2022-10-12 17:00:00,439.989990234375
O,12,0.6970000267028809,2022-10-12 18:00:00,439.5780029296875
O,12,1.8370000123977661,2022-10-12 19:00:00,441.32000732421875
O,12,3.5929999351501465,2022-10-12 20:00:00,453.5169982910156
O,12,2.572999954223633,2022-10-12 21:00:00,460.5710144042969
O,6,1.9589999914169312,2022-10-12 22:00:00,460.0159912109375
O,12,1.659000039100647,2022-10-12 23:00:00,462.7090148925781
O,10,11.281999588012695,2022-10-13 00:00:00,475.5769958496094
O,8,1.215999960899353,2022-10-13 01:00:00,455.7869873046875
O,12,5.449999809265137,2022-10-13 02:00:00,475.37298583984375
O,12,0.7049999833106995,2022-10-13 03:00:00,479.69000244140625
O,12,3.4130001068115234,2022-10-13 04:00:00,478.8909912109375
O,4,0.5189999938011169,2022-10-13 05:00:00,484.1579895019531
O,12,21.136999130249023,2022-10-13 06:00:00,492.9540100097656
O,12,3.7039999961853027,2022-10-13 07:00:00,506.06500244140625
O,4,1.371999979019165,2022-10-13 08:00:00,507.1809997558594
O,12,5.173999786376953,2022-10-13 09:00:00,502.5360107421875
O,12,5.730000019073486,2022-10-13 10:00:00,483.2139892578125
O,12,3.23799991607666,2022-10-13 11:00:00,467.8630065917969
O,12,3.424999952316284,2022-10-13 12:00:00,464.4410095214844
O,6,0.9589999914169312,2022-10-13 13:00:00,457.4010009765625
O,12,1.4880000352859497,2022-10-13 14:00:00,456.4809875488281
O,10,1.7269999980926514,2022-10-13 15:00:00,455.6579895019531
O,8,0.5640000104904175,2022-10-13 16:00:00,441.50201416015625
O,12,0.8790000081062317,2022-10-13 17:00:00,442.78900146484375
O,12,1.1619999408721924,2022-10-13 18:00:00,443.1180114746094
O,12,2.263000011444092,2022-10-13 19:00:00,441.27301025390625
O,4,1.3589999675750732,2022-10-13 20:00:00,446.84100341796875
O,12,2.3299999237060547,2022-10-13 21:00:00,447.2430114746094
O,12,1.8029999732971191,2022-10-13 22:00:00,449.66400146484375
